timestamp,trip_id,route_id,trip_start_time,trip_start_date,vehicle_id,vehicle_label,vehicle_license_plate,latitude,longitude,bearing,speed,stop_id,stop_status,occupancy_status,congestion_level,progress,block_assigned,dist_along_route,dist_from_stop,mid,stop_sequence
2023-05-17 06:33:41+00,MV_B3-Weekday-SDon-013000_M2_202,M2,,2023-05-17,MTA NYCT_9900,,,40.799397,-73.955215,337.62,,400290,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:17+00,JG_B3-Weekday-SDon-013000_B35_501,B35,,2023-05-17,MTA NYCT_1104,,,40.650730,-73.951157,2.59,,307792,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:33+00,MQ_B3-Weekday-SDon-015000_SB79_651,M79+,,2023-05-17,MTA NYCT_6148,,,40.784149,-73.977577,53.86,,401867,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:25+00,MQ_B3-Weekday-SDon-014000_SBS86_951,M86+,,2023-05-17,MTA NYCT_6168,,,40.777554,-73.950996,337.33,,401908,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:35+00,JG_B3-Weekday-SDon-014000_B63_652,B63,,2023-05-17,MTA NYCT_424,,,40.662823,-73.991859,223.98,,305428,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:45+00,CA_B3-Weekday-SDon-013500_S4696_40,S46,,2023-05-17,MTA NYCT_8708,,,40.634579,-74.116951,6.20,,200267,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:40+00,JA_B3-Weekday-SDon-153000_MISC_889,Q4,,2023-05-16,MTA NYCT_8760,,,40.700520,-73.789154,136.62,,500607,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:35+00,JG_B3-Weekday-SDon-015200_B68_951,B68,,2023-05-17,MTA NYCT_466,,,40.579521,-73.978966,6.63,,308302,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:24+00,JG_B3-Weekday-SDon-009000_B63_651,B63,,2023-05-17,MTA NYCT_465,,,40.614021,-74.032608,229.76,,306940,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:28+00,JG_B3-Weekday-SDon-011800_B8_102,B8,,2023-05-17,MTA NYCT_472,,,40.638428,-73.951080,179.86,,300875,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:37+00,CS_B3-Weekday-SDon-011000_Q20_253,Q20A,,2023-05-17,MTA NYCT_7437,,,40.781662,-73.828255,180.00,,505014,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:27+00,JG_B3-Weekday-SDon-014000_B61_802,B61,,2023-05-17,MTA NYCT_481,,,40.672894,-74.010681,65.43,,306086,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:37+00,YU_B3-Weekday-SDon-012000_SIM1_542,SIM1C,,2023-05-17,MTA NYCT_2505,,,40.636307,-74.018082,149.74,,404887,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
